id,brand,category,subcategory,subsubcategory,color,gender,herhaalaankopen,name,price.selling_price,recommendable
27289,,,,,,,True,Nicole by OPI Nagellak #N370 Sea Green Up Your Act,249,False
27297,,,,,,,True,"Sally Hansen Nagellak Salon Berry Sweet 13,3 ml",249,False
27298,,,,,,,True,Sally Hansen Nagellak Salon #818 Goldie Frocks,249,False
27299,,,,,,,True,Aquafresh TB Flex & Control Medium,179,False
27301,,,,,,,True,Aquafresh TB Flex Medium Duo Pack,229,False
27291,,,,,,,True,Maybelline Nagellak Color Show #N273 Soho Green,249,False
27304,,Gezond & verzorging,Mini reisverpakkingen,Mini tandpasta,,,True,Sensodyne TP MINI 20ml Complete Protection,99,False
04192,,,,,,,True,W7 Full Colour Lipstick,299,False
04218,,,,,,,True,W7 Colourways Haarverf,399,False
27310,,,,,,,True,Dinerkaarsen Wit 15st,598,False
27311,,,,,,,True,Dinerkaarsen Donkerrood 15st,598,False
27348,,,,,,,True,Ambi Pur 3Volution Starter+Navul. Moonligt Vanill,599,False
27349,,,,,,,True,Vanish Oxi Axtion 450ml Crystal White,179,False
27374,,,,,,,True,Glade Discreet Navul 12gr Sparkling Floral,229,False
04233,W7,Make-up & geuren,Make-up,Oogschaduw,Zilver,Vrouw,True,W7 Paarstinten Oogschaduw Palette,898,True
27344,,,,,,,True,Fructis Shampoo 250ml Damage Repair,179,False
27406,,,,,,,True,David Beckham EDT 30ml Woman Intimately Yours,998,False
27421,,,,,,,True,L'Oréal Nagellak Color Riche Crackle nr.814,399,False
27420,,,,,,,True,L'Oréal nagellak Color Riche Crackle nr.815,399,False
27422,,,,,,,True,L'Oréal Nagellak Color Riche Crackle nr.217,399,False
3790,,,,,,,True,Gillette Venus Divine Houder Blauw,798,False
27350,Playboy,Make-up & geuren,Geuren en geschenkset,Damesgeuren,,,True,Playboy EDT Woman Play it Spicy 50 ml,799,True
27487,,,,,,,True,Steradent Gebitshechtcreme Comfort 65gr,399,False
27505,,,,,,,True,Bisolvon Bisolduo Aardbei-Mint18st,598,False
27482,,,,,,,True,VSM Nisyleen Keelspray 30ml,1099,False
27619,,,,,,,True,Oktoberfest Plastic Bekertjes,179,False
27629,,,,,,,True,Oktoberfest Bayern Grijs Luxe vilt,399,False
27660,,,,,,,True,Creme Of Nature Haarkleuring #8.4,599,False
27506,,,,,,,True,Bisolvon Bisolduo Lemon-Eucalyptus 18St,598,False
27688,,,,,,,True,Dark and Lovely Set Moisture Plus Moyen,799,False
